movie_id,actor_id,characters
tt11608490,nm10350053,Cal Jones
tt11608490,nm12039761,Duane Boland
tt11609616,nm11293869,Owen Florentine
tt11609616,nm11293870,Eli Vedaldi
tt11609616,nm11293871,Valentina Amante
tt11609616,nm11265591,Opal Florentine
tt11609692,nm7188688,Jarah Banganha
tt11609692,nm3878865,Waru Banganha
tt11609692,nm4122165,Shamus|Paddy Mackay
tt11609692,nm5479980,Maggie Banganha
tt11612868,nm10300030,Isabella Tails
tt11612868,nm10260213,Meredith Spade
tt11612868,nm11392254,Heather Shipp
tt11612868,nm11374152,Martha Shipp
tt11612868,nm11126977,Script supervisor
tt11612868,nm11373788,Aaron Tails
tt11612868,nm11880291,Bill Manno
tt11612868,nm11393072,Kenneth Spade
tt11613734,nm11275467,Prop Master
tt11613734,nm6112119,Fit Kettlecorn
tt11613734,nm6496578,Shaggy Rogers
tt11614052,nm7511498,Enchantress
tt11614052,nm5840620,Mystery Girl
tt11614052,nm1115103,Enforcer
tt11614144,nm3860771,Ashley|Dream Girl
tt11614144,nm11275562,Henry
tt11614144,nm11275564,Chip
tt11614144,nm11275563,Stink
tt11614472,nm1145433,Béres József
tt11614472,nm0404176,Papp Katalin (Katóka)
tt11614472,nm0844462,Imre
tt11614472,nm0299800,Irén
tt11614580,nm11291741,Main Role
tt11614580,nm11275770,Main Role
tt11614580,nm5444787,Main role
tt11614580,nm11291740,Main Role
tt11614912,nm3338354,Amy
tt11614912,nm0011038,Jane
tt11614912,nm2310589,Craig
tt11614912,nm1051221,Susan
tt11615764,nm5461265,Priyank
tt11615764,nm10452474,Kartik
tt11615764,nm10615585,Neha
tt11615764,nm7902117,Versha
tt11615840,nm9324189,Daniel
tt11615840,nm6229350,Olivia
tt11615840,nm5378162,Cole
tt11615840,nm11276208,Sam
tt11616036,nm1166576,Georgiy
tt11616036,nm2402424,Igor
tt11616036,nm8629695,Yuliya
tt11616036,nm0831190,Viktor Sergeevich
tt11617052,nm3559009,Undine Wibeau
tt11617052,nm4453291,Christoph
tt11617052,nm1877776,Monika
tt11617052,nm0559326,Johannes
tt11617146,nm0317457,Sinterklaas
tt11617146,nm3351669,Coole Piet
tt11617146,nm1367291,Smoezel
tt11617146,nm2127350,Testpiet
tt11617442,nm5438811,Villain
tt11617442,nm8706374,Joseph
tt11617492,nm5954636,Man
tt11617492,nm8379246,People
tt11617584,nm1717138,Pelle Svanslös
tt11617584,nm2402945,Elake Måns
tt11617584,nm0353771,Maja Gräddnos
tt11617584,nm1168503,Bill
tt11618354,nm0251519,Radio Show Host
tt11618536,nm4323708,Alex Malmquist
tt11618536,nm3871647,Maggie Hill
tt11618536,nm0484541,Mom
tt11618536,nm2383250,Sam
tt11620692,nm11396173,Gidget Ramsay
tt11620692,nm9395520,Vivianna Penbrooke
tt11620692,nm10125945,Scarlett Knight
tt11620692,nm10074152,Edna Montgomery Clark
tt11620692,nm10125984,Siren Lancaster
tt11620692,nm10002093,Piper Robinson
tt11620836,nm10557245,Mia Louis
tt11620836,nm10558164,Drew Nicholas
tt11620836,nm10576777,Nancy Carwhile
tt11620836,nm10556826,Thomas
tt11621144,nm5918426,Mr. Midas
tt11621144,nm11158559,Allison Michaels
tt11621144,nm4106347,Sore Thumbs Sashinka
tt11621144,nm6697250,Katherine Avery
tt11621144,nm11935596,Emily Dunbar
tt11621144,nm10857746,Bill Mulligan
tt11621144,nm10279750,Reggi Brock
tt11621144,nm11214174,Karen Swanson
tt11621144,nm9927981,Aaron Burton
tt11621650,nm1214184,Petros
tt11621650,nm3053646,Zoi
tt11621650,nm0198606,Anna
tt11621650,nm4551173,Martha
tt11621650,nm1027801,Stefania
tt11621650,nm0031440,Restaurant Customer 3
tt11621650,nm3190688,Dimitris
tt11621896,nm7758262,Lady Qiu
tt11621896,nm4803560,Di Renjie
tt11621896,nm11279383,Xie Yaohuan
tt11621896,nm7887156,Meng Shaobai
tt11622272,nm11279651,Uje
tt11622272,nm7739813,Therese
tt11622272,nm11279653,Bixi
tt11622272,nm11279652,Vega
tt11622310,nm7061528,Arman Cho
tt11623722,nm1465326,Anna
tt11623722,nm1142920,Roula
tt11623722,nm0657403,Kyriakos
tt11623722,nm12127210,Nikoleta
tt11624506,nm12091841,Raghav
tt11624506,nm9845146,Pappi
tt11624506,nm11262350,Menddy
tt11624506,nm11167394,Menddy Father
tt11624506,nm11294770,Fuley
tt11624506,nm11217536,Jhungru
tt11625100,nm11280870,Young Jacinto
tt11625100,nm11280871,Young Pedro
tt11625100,nm11280872,Young Beatriz
tt11625100,nm11280873,Jacinto
tt11625552,nm10151948,Miguel
tt11626116,nm1284648,Murat
tt11626116,nm5537370,Leyla
tt11626116,nm3742255,Hikmet
tt11626116,nm3114324,Cihanna
tt11626420,nm11281282,Dandar
tt12135398,nm11499813,Elisa
tt12135398,nm9922264,Luk
tt12135398,nm6133513,Linda
tt12135398,nm3270142,Christian
tt12135398,nm11499812,Steily
tt12135398,nm4582980,Lora
tt12135398,nm0500547,Carla
tt12135398,nm3078724,Brainie
tt12135398,nm2165531,Henry Killian
tt12135644,nm11494205,Narrator
tt12137428,nm8435773,Gen Kaburagi
tt12137428,nm8153256,Jukiya
tt12137428,nm2066496,Shinia
tt12137428,nm10170207,Kaiji Hiura
tt12137428,nm0354560,Kuki Kotobuki
tt12137428,nm10170208,Riku Odajima
tt12137428,nm5353990,Yasu
tt12137524,nm10051028,Madre
tt12137660,nm11499888,Samantha Grey
tt12137660,nm11499889,Barry Syput
tt12137660,nm9984817,Cal Owens
tt12137660,nm11499890,Lillian Grey
tt12137914,nm10357774,Jimmy Lyon
tt12137914,nm5653659,Marc Angel
tt12137914,nm10355497,Aiden Baal
tt12137914,nm10355501,Jeff Cannonball
tt12137914,nm3832793,Alex Colon
tt12137914,nm3873544,G-Raver
tt12137914,nm10536773,Raven Havok
tt12137914,nm10435605,Brandon Kirk
tt12137914,nm9674673,Jimmy Lloyd
tt12137964,nm0565319,Audrey
tt12137964,nm0724995,Henry
tt12137964,nm9078978,Becker
tt12137964,nm4145157,Ian
tt12138278,nm11495257,Thulani
tt12138278,nm11495258,Suwi
tt12138278,nm11495366,Phil
tt12138278,nm11495259,Mutinta
tt12138314,nm9326656,Blake
tt12138314,nm2435474,Walter
tt12138528,nm9868434,Chloe Miller
tt12138528,nm4238776,Fred Hedges
tt12138528,nm9868437,Fred Hedges
tt12138528,nm10854791,Karen Karie
tt12138550,nm1091701,Alieu
tt12138550,nm2251716,Maya
tt12138550,nm0372556,Venus
tt12138550,nm3761814,Cheng
tt12138788,nm9909122,Hostess
tt12138788,nm8619211,Monica
tt12138788,nm7884098,Trinity
tt12138788,nm9108808,Brandi
tt12138788,nm11495617,Cierra
tt12138788,nm5229026,Father
tt12139700,nm0579696,Munki|Rocky
tt12139700,nm0727778,Grogon
tt12139700,nm5921357,Tallbert
tt12139700,nm10339009,Baby
tt12140058,nm9750067,Dominique
tt12140058,nm0234748,Albéric
tt12140058,nm9364378,Thomas
tt12140058,nm2909124,Flora
tt12140058,nm4423756,Chauffeur de taxi
tt12140060,nm1246302,Kommentar
tt12140104,nm6135703,Narrator
tt12140104,nm11496343,Dadda
tt12140804,nm11496744,Dilem
tt12140804,nm5262158,Ela
tt12140804,nm1800339,Iffet
tt12140804,nm2478840,Rasit
tt12140864,nm1000908,Picapoll
tt12140864,nm0053965,Bartolo
tt12140864,nm2613025,Fígaro
tt12140864,nm6398366,Peret
tt12140864,nm1235132,Comte Almaviva
tt12141544,nm7909486,Narrator
tt12142012,nm11571494,Libby
tt12142012,nm5069788,Skeptic Steve
tt12142012,nm8356058,Clint
tt12142012,nm9283436,Geovanna
tt12142504,nm0447884,Self
tt12142854,nm9816276,Self
tt12143014,nm0136572,Dr. José María Chema Gómez
tt12143014,nm1161078,Dr. Hugo Vera
tt12143014,nm0198366,Dr. Saúl Bravo
tt12143014,nm0147310,Dra. Elena Durán
tt12143970,nm6133513,Linda
tt12143970,nm2165531,Henry Killian
tt12143970,nm10822117,Eifi
tt12143970,nm11497480,Liebe
tt12143970,nm0894949,Marie
tt12144492,nm2383381,Adam Verner
tt12144492,nm1040345,Eddie
tt12144492,nm1344791,Ben Taggert
tt12144492,nm5053183,Kurtis Striker
tt12144492,nm2964928,James
tt12144492,nm4697267,Katya
tt12144492,nm1426208,Ceaser
tt12144578,nm3977776,Adela
tt12144578,nm1892476,Partner
tt12144578,nm5303756,Rebeka
tt12144578,nm4704877,Seer
tt12145270,nm8416720,Alexander Samaras
tt12145270,nm11498108,Elenor Samaras
tt12145270,nm11498109,Young Alexander
tt12145270,nm11498110,Young Elenor
tt12145322,nm2769614,Dane 'Marbles' Marbeck
tt12145322,nm3289442,Jayson Tagg
tt12145322,nm7445034,Yana Tagg
tt12145322,nm0911943,Janine Marbeck
tt12146326,nm7171812,Joan Ferragut
tt12146326,nm3585557,Xisco Rodenas
tt12147574,nm11503012,Walter
tt12147574,nm4576318,Justina
tt12147574,nm4992800,Michael Stover
tt12147574,nm2990218,Gil
tt12150578,nm7139083,Mahogany Andrews
tt12150578,nm5767655,Khalil Pearsons
tt12150578,nm7552292,Antonio 'Tony' Hawkins
tt12150578,nm8246999,Rick Jameson
tt12152428,nm0502442,Doug Stephens
tt12152860,nm4864823,Carlos Miranda
tt12152860,nm2047430,Rômulo Rodrigues
tt12152860,nm11311625,Jéssica Rodrigues
tt12152860,nm11501396,Fabiana Miranda
tt12153366,nm11501816,Own Role
tt12153366,nm11501818,Own Role
tt12153366,nm11501821,Own Role
tt12153366,nm11501819,Own Role
tt12153674,nm4494652,Narrator
tt12155064,nm6728910,Mario
tt12155064,nm7318389,Metzger Hermann
tt12155064,nm5995132,Lenz
tt12155064,nm0644450,Marina
tt12158538,nm8016666,Ellen Weaver
tt12158538,nm0879186,The Watcher|Scopophilio
tt12158538,nm8984839,Havoc
tt12159116,nm7007079,The girl who asked the soul
tt12159116,nm7007082,The gangster
tt12159116,nm8817246,The gay criminal
tt12159766,nm11504727,Father
tt12159766,nm11504725,The Commander
tt12159766,nm11504728,Grummi
tt12159766,nm11504724,Jessica
tt12159766,nm11504726,Machine
tt12159976,nm12061536,Silvia
tt12159976,nm12061537,Chiky
tt12159976,nm12061535,Franca
tt12162206,nm11503594,O.S.
tt12162206,nm11503595,Rob
tt12162206,nm8463558,Ralph Lambert
tt12162206,nm9795899,Stassi
tt12164022,nm8102024,Marc With a C
tt12164022,nm8073520,Dick Steel
tt12164812,nm8634101,Our Guy
tt12166434,nm5926117,Taras Shevchenko
tt12169000,nm11508055,James
tt12169000,nm8020211,Alex
tt12169000,nm11508054,Brianna
tt12169000,nm6668284,Jake
tt12169000,nm9552722,Julia
tt12169022,nm2263867,Jan Herzog
tt12169022,nm10659783,Eliane Maibach
tt12169022,nm11508099,Till Schulte
tt12169022,nm11197552,Mehmet Breiter
tt12169766,nm0567653,Narrator
